architecture,target,probe_type,tier,timescale_ms,n_neurons,r2_trained_mean,r2_trained_max,delta_r2_mean,selectivity_mean,n_significant,dominant_diagnosis,diagnosis_counts
lstm,G_T,mlp_1,1,5.0,5,0.5730664074420929,0.7196202278137207,0.10643070936202999,0.4644154773950577,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,G_T,mlp_2,1,5.0,5,0.5829081296920776,0.7197960615158081,0.07149181365966792,0.4644154773950577,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 4, 'STRUCTURAL': 1}"
lstm,G_T,ridge,1,5.0,5,0.46687964677810667,0.6392475843429566,-0.010342578887939421,0.4644154773950577,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,G_h,mlp_1,1,100.0,5,-3.514234113693237,-2.2196154594421387,-1.5699473857879638,0.473032215833664,5,SCALE_AMBIGUITY,"{'SCALE_AMBIGUITY': 4, 'GENUINE_ZOMBIE': 1}"
lstm,G_h,mlp_2,1,100.0,5,-3.4711468026041983,-0.1201192364096641,-2.1976971074938776,0.473032215833664,5,SCALE_AMBIGUITY,{'SCALE_AMBIGUITY': 5}
lstm,G_h,ridge,1,100.0,5,0.5974598932266236,0.6333564996719361,0.02334072828292844,0.473032215833664,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,I_GABA_A,mlp_1,1,5.0,5,-0.056117406114935854,-0.0114081259816885,-0.010758815333247202,0.19271287047863003,5,SCALE_AMBIGUITY,"{'SCALE_AMBIGUITY': 4, 'GENUINE_ZOMBIE': 1}"
lstm,I_GABA_A,mlp_2,1,5.0,5,0.22927521169185633,0.2724859714508056,0.1258895248174667,0.19271287047863003,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,I_GABA_A,ridge,1,5.0,5,0.2841112971305847,0.3291741847991943,0.014911408424377442,0.19271287047863003,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,I_GABA_B,mlp_1,1,150.0,5,0.4694809019565582,0.4905630052089691,0.24014295339584346,0.09596151900291439,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,I_GABA_B,mlp_2,1,150.0,5,0.5926305055618286,0.6167858839035034,0.07899143099784849,0.09596151900291439,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,I_GABA_B,ridge,1,150.0,5,0.621344051361084,0.6473888278007507,-0.0007337689399719201,0.09596151900291439,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,I_T,mlp_1,1,5.0,5,0.5354154944419861,0.688485860824585,0.15483025908470155,0.46498848056793207,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,I_T,mlp_2,1,5.0,5,0.6043481826782227,0.7363643646240234,0.05947061181068418,0.46498848056793207,5,STRUCTURAL,"{'STRUCTURAL': 3, 'NONLINEAR_ENCODING': 2}"
lstm,I_T,ridge,1,5.0,5,0.4669489240646363,0.6394713640213012,-0.008549258708953861,0.46498848056793207,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,I_h,mlp_1,1,100.0,5,0.7489615321159363,0.7758151292800903,0.12509771585464474,0.5068696697950363,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
lstm,I_h,mlp_2,1,100.0,5,0.7514519453048706,0.7732641696929932,0.04188243150711054,0.5068696697950363,5,STRUCTURAL,"{'STRUCTURAL': 4, 'NONLINEAR_ENCODING': 1}"
lstm,I_h,ridge,1,100.0,5,0.6345364165306091,0.6711584806442261,0.01627944231033324,0.5068696697950363,5,STRUCTURAL,"{'STRUCTURAL': 4, 'LINEAR_ENCODING': 1}"
lstm,gabaa_per_tc,mlp_1,1,5.0,5,0.45380781292915345,0.5363323092460632,0.07097569108009334,0.08797172009944912,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 4, 'STRUCTURAL': 1}"
lstm,gabaa_per_tc,mlp_2,1,5.0,5,0.49315889477729796,0.5802930593490601,0.06582601666450497,0.08797172009944912,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 3, 'STRUCTURAL': 2}"
lstm,gabaa_per_tc,ridge,1,5.0,5,0.4758446955680847,0.5679896235466003,0.017298450469970642,0.08797172009944912,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,gabab_per_tc,mlp_1,1,150.0,5,0.9769857406616211,0.9790452122688292,0.00702254772186274,0.00496645390987384,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,gabab_per_tc,mlp_2,1,150.0,5,0.9723458051681518,0.9735373258590698,0.00531200170516964,0.00496645390987384,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,gabab_per_tc,ridge,1,150.0,5,0.9769702100753787,0.978377640247345,-0.00754243373870842,0.00496645390987384,5,STRUCTURAL,{'STRUCTURAL': 5}
lstm,tc_h_T,mlp_1,2,20.0,5,0.8495747685432434,0.8687005043029785,0.13420387506484982,0.5866614274978638,5,NONLINEAR_ENCODING,{'NONLINEAR_ENCODING': 5}
